Date,Open,High,Low,Close,Adj Close,Volume
2018-06-19,1.180000,1.190000,1.110000,1.160000,1.160000,12771627
2018-06-20,1.160000,1.190000,1.140000,1.160000,1.160000,5351225
2018-06-21,1.160000,1.180000,0.931100,0.977100,0.977100,30885179
2018-06-22,0.977100,1.070000,0.956000,1.040000,1.040000,14631571
2018-06-23,1.040000,1.040000,0.885100,0.977000,0.977000,23484322
2018-06-24,0.977000,1.060000,0.957700,1.020000,1.020000,14259669
2018-06-25,1.020000,1.030000,0.930100,0.939200,0.939200,11234604
2018-06-26,0.939200,1.020000,0.918000,0.987400,0.987400,9966863
2018-06-27,0.987400,1.000000,0.901300,0.917800,0.917800,8205073
2018-06-28,0.917800,0.981000,0.887700,0.962700,0.962700,12519372
2018-06-29,0.962700,1.040000,0.962500,1.010000,1.010000,11006679
2018-06-30,1.010000,1.090000,0.990300,1.070000,1.070000,12990551
2018-07-01,1.070000,1.190000,1.030000,1.170000,1.170000,18527303
2018-07-02,1.170000,1.240000,1.130000,1.150000,1.150000,21878357
2018-07-03,1.150000,1.260000,1.100000,1.220000,1.220000,16866150
2018-07-04,1.220000,1.220000,1.110000,1.150000,1.150000,18080644
2018-07-05,1.150000,1.160000,1.020000,1.050000,1.050000,20051983
2018-07-06,1.050000,1.100000,1.030000,1.100000,1.100000,9580910
2018-07-07,1.100000,1.150000,1.060000,1.080000,1.080000,10091227
2018-07-08,1.080000,1.100000,1.030000,1.040000,1.040000,8371091
2018-07-09,1.040000,1.040000,0.943300,0.956800,0.956800,13535725
2018-07-10,0.956800,1.010000,0.934600,1.000000,1.000000,7249822
2018-07-11,1.000000,1.000000,0.930000,0.966100,0.966100,8334970
2018-07-12,0.966100,1.000000,0.955000,0.962300,0.962300,6628219
2018-07-13,0.962300,0.995300,0.957300,0.971000,0.971000,3050103
2018-07-14,0.971000,1.020000,0.967700,1.000000,1.000000,5332159
2018-07-15,1.000000,1.110000,0.986000,1.090000,1.090000,15382415
2018-07-16,1.090000,1.170000,1.050000,1.140000,1.140000,17485643
2018-07-17,1.140000,1.180000,1.070000,1.090000,1.090000,16373979
2018-07-18,1.090000,1.090000,1.030000,1.040000,1.040000,10381113
2018-07-19,1.040000,1.040000,0.941200,0.960800,0.960800,14055270
2018-07-20,0.960800,1.020000,0.942000,0.999000,0.999000,6648376
2018-07-21,0.999000,1.010000,0.962000,0.979100,0.979100,5462544
2018-07-22,0.979100,1.010000,0.920000,0.931700,0.931700,9537019
2018-07-23,0.931700,1.000000,0.906600,0.980100,0.980100,11898797
2018-07-24,0.980100,1.020000,0.961000,0.986100,0.986100,8618089
2018-07-25,0.986100,1.060000,0.985500,1.020000,1.020000,12442976
2018-07-26,1.020000,1.040000,0.973000,1.010000,1.010000,10368305
2018-07-27,1.010000,1.030000,0.997500,1.030000,1.030000,4564192
2018-07-28,1.030000,1.040000,1.000000,1.010000,1.010000,2826387
2018-07-29,1.010000,1.020000,0.950800,0.975100,0.975100,5709301
2018-07-30,0.975100,0.986700,0.930600,0.947900,0.947900,6150287
2018-07-31,0.947900,0.950300,0.901000,0.926600,0.926600,5458769
2018-08-01,0.926600,0.937300,0.873500,0.885000,0.885000,6119607
2018-08-02,0.885000,0.967600,0.773500,0.960000,0.960000,33280456
2018-08-03,0.960000,0.978900,0.833400,0.849000,0.849000,16076022
2018-08-04,0.849000,1.030000,0.845600,0.910800,0.910800,21356157
2018-08-05,0.910800,0.929000,0.750100,0.780900,0.780900,25633216
2018-08-06,0.780900,0.803000,0.677100,0.719800,0.719800,43253511
2018-08-07,0.719800,0.721200,0.594700,0.615000,0.615000,26098913
2018-08-08,0.615000,0.673800,0.595900,0.638300,0.638300,13782460
2018-08-09,0.638300,0.646800,0.543100,0.572300,0.572300,16681963
2018-08-10,0.572300,0.574300,0.501100,0.519100,0.519100,12426806
2018-08-11,0.519100,0.552300,0.514500,0.540300,0.540300,6252844
2018-08-12,0.540300,0.550000,0.453100,0.456200,0.456200,10133376
2018-08-13,0.456200,0.460900,0.403700,0.448200,0.448200,14221948
2018-08-14,0.448200,0.494200,0.436300,0.443000,0.443000,13680950
2018-08-15,0.443000,0.479000,0.431600,0.464900,0.464900,8660438
2018-08-16,0.464900,0.574700,0.462800,0.563700,0.563700,15817131
2018-08-17,0.563700,0.575000,0.465000,0.497100,0.497100,11848705
2018-08-18,0.497100,0.569000,0.481000,0.537700,0.537700,13290424
2018-08-19,0.537700,0.545600,0.486200,0.494500,0.494500,9955757
2018-08-20,0.494500,0.539400,0.494500,0.519000,0.519000,7075083
2018-08-21,0.519000,0.565000,0.457000,0.477500,0.477500,13619682
2018-08-22,0.477500,0.514800,0.475300,0.507100,0.507100,6979221
2018-08-23,0.507100,0.529000,0.492400,0.523700,0.523700,4611981
2018-08-24,0.523700,0.547200,0.519300,0.538400,0.538400,5307616
2018-08-25,0.538400,0.580000,0.517100,0.563800,0.563800,6150703
2018-08-26,0.563800,0.696900,0.558200,0.672700,0.672700,24898695
2018-08-27,0.672700,0.799000,0.654000,0.769000,0.769000,46872811
2018-08-28,0.769000,0.815200,0.708300,0.727600,0.727600,31756828
2018-08-29,0.727600,0.729800,0.656000,0.717500,0.717500,24194878
2018-08-30,0.717500,0.738200,0.693300,0.709900,0.709900,12266766
2018-08-31,0.709900,0.760300,0.706200,0.740700,0.740700,12278911
2018-09-01,0.740700,0.743900,0.699300,0.718500,0.718500,9527588
2018-09-02,0.718500,0.731100,0.676000,0.699300,0.699300,8637815
2018-09-03,0.699300,0.744800,0.688200,0.701200,0.701200,9743809
2018-09-04,0.701200,0.716800,0.565000,0.579400,0.579400,20469573
2018-09-05,0.579400,0.606900,0.530000,0.601100,0.601100,15627261
2018-09-06,0.601100,0.617000,0.551200,0.563000,0.563000,9544911
2018-09-07,0.563000,0.591000,0.516000,0.530000,0.530000,7807654
2018-09-08,0.530000,0.585000,0.511700,0.556400,0.556400,8618360
2018-09-09,0.556400,0.599900,0.553000,0.574600,0.574600,7242666
2018-09-10,0.574600,0.583000,0.523000,0.545300,0.545300,8384837
2018-09-11,0.545300,0.557200,0.500000,0.548600,0.548600,9830516
2018-09-12,0.548600,0.606700,0.548400,0.575400,0.575400,10728705
2018-09-13,0.575400,0.617500,0.551600,0.571000,0.571000,9829846
2018-09-14,0.571000,0.591900,0.556500,0.569100,0.569100,4618306
2018-09-15,0.569100,0.584900,0.553700,0.578500,0.578500,4064577
2018-09-16,0.578500,0.589000,0.525800,0.533100,0.533100,7937847
2018-09-17,0.533100,0.548000,0.496400,0.533400,0.533400,13602543
2018-09-18,0.533400,0.543900,0.504600,0.530400,0.530400,7805887
2018-09-19,0.530400,0.582300,0.523500,0.565800,0.565800,6015098
2018-09-20,0.565800,0.634600,0.556600,0.628700,0.628700,13881076
2018-09-21,0.628700,0.649800,0.573300,0.608100,0.608100,9967889
2018-09-22,0.608100,0.634000,0.596100,0.610400,0.610400,5252892
2018-09-23,0.610400,0.614500,0.531200,0.559700,0.559700,18595596
2018-09-24,0.560800,0.574400,0.525500,0.569900,0.569900,9889643
2018-09-25,0.569900,0.578100,0.545100,0.546600,0.546600,4596919
2018-09-26,0.546600,0.599900,0.532500,0.585300,0.585300,8797991
2018-09-27,0.585300,0.597000,0.556800,0.573300,0.573300,6192237
2018-09-28,0.573300,0.574700,0.551000,0.563100,0.563100,2768815
2018-09-29,0.563100,0.577400,0.556600,0.568000,0.568000,3554790
2018-09-30,0.568000,0.584700,0.540900,0.561400,0.561400,5349400
2018-10-01,0.561400,0.571200,0.550000,0.560300,0.560300,2903340
